names,index,setting,Core,Parallelism,cri,makespan
our ,107,NoCore,6,30,20,33535
other ,129,NoCore ,5,30,20,42046
other ,107,NoCore ,6,30,20,40087
our ,108,NoCore,6,30,20,33535
our ,130,NoCore,5,30,20,37102
other ,108,NoCore ,6,30,20,34293
other ,130,NoCore ,5,30,20,36504
our ,109,NoCore,6,30,20,33535
our ,131,NoCore,5,30,20,37102
other ,109,NoCore ,6,30,20,38631
other ,131,NoCore ,5,30,20,38820
our ,110,NoCore,6,30,20,33535
our ,132,NoCore,5,30,20,37102
other ,110,NoCore ,6,30,20,35929
our ,111,NoCore,6,30,20,33535
other ,132,NoCore ,5,30,20,36762
our ,133,NoCore,5,30,20,37102
other ,111,NoCore ,6,30,20,33919
other ,133,NoCore ,5,30,20,38738
our ,112,NoCore,6,30,20,33535
our ,134,NoCore,5,30,20,37102
other ,112,NoCore ,6,30,20,35065
our ,113,NoCore,6,30,20,33535
other ,134,NoCore ,5,30,20,40829
other ,113,NoCore ,6,30,20,37802
our ,135,NoCore,5,30,20,37102
our ,114,NoCore,6,30,20,33535
other ,135,NoCore ,5,30,20,41256
other ,114,NoCore ,6,30,20,36595
our ,136,NoCore,5,30,20,37102
our ,115,NoCore,6,30,20,33535
other ,136,NoCore ,5,30,20,38683
other ,115,NoCore ,6,30,20,38867
our ,137,NoCore,5,30,20,37102
our ,116,NoCore,6,30,20,33535
other ,137,NoCore ,5,30,20,37868
other ,116,NoCore ,6,30,20,36850
our ,138,NoCore,5,30,20,37102
our ,117,NoCore,6,30,20,33535
other ,138,NoCore ,5,30,20,41700
other ,117,NoCore ,6,30,20,35035
our ,139,NoCore,5,30,20,37102
our ,118,NoCore,6,30,20,33535
other ,139,NoCore ,5,30,20,38976
other ,118,NoCore ,6,30,20,34706
our ,140,NoCore,5,30,20,37102
our ,119,NoCore,6,30,20,33535
other ,119,NoCore ,6,30,20,36910
other ,140,NoCore ,5,30,20,39023
our ,120,NoCore,6,30,20,33535
our ,141,NoCore,5,30,20,37102
other ,120,NoCore ,6,30,20,37737
other ,141,NoCore ,5,30,20,37348
our ,121,NoCore,6,30,20,33535
our ,142,NoCore,5,30,20,37102
other ,121,NoCore ,6,30,20,39295
our ,122,NoCore,6,30,20,33535
other ,142,NoCore ,5,30,20,36913
our ,143,NoCore,5,30,20,37102
other ,122,NoCore ,6,30,20,38072
our ,123,NoCore,6,30,20,33535
other ,143,NoCore ,5,30,20,37655
our ,144,NoCore,5,30,20,37102
other ,123,NoCore ,6,30,20,39066
our ,124,NoCore,6,30,20,33535
other ,144,NoCore ,5,30,20,39189
other ,124,NoCore ,6,30,20,38706
our ,145,NoCore,5,30,20,37102
our ,125,NoCore,6,30,20,33535
other ,145,NoCore ,5,30,20,41858
other ,125,NoCore ,6,30,20,39912
our ,146,NoCore,5,30,20,37102
our ,126,NoCore,6,30,20,33535
other ,146,NoCore ,5,30,20,38974
other ,126,NoCore ,6,30,20,37541
our ,147,NoCore,5,30,20,37102
our ,127,NoCore,6,30,20,33535
other ,147,NoCore ,5,30,20,41452
other ,127,NoCore ,6,30,20,36857
our ,148,NoCore,5,30,20,37102
our ,128,NoCore,6,30,20,33535
other ,148,NoCore ,5,30,20,38634
other ,128,NoCore ,6,30,20,37142
our ,149,NoCore,5,30,20,37102
our ,129,NoCore,6,30,20,33535
other ,149,NoCore ,5,30,20,39662
other ,129,NoCore ,6,30,20,38993
our ,150,NoCore,5,30,20,37102
our ,130,NoCore,6,30,20,33535
other ,150,NoCore ,5,30,20,41432
other ,130,NoCore ,6,30,20,37149
our ,151,NoCore,5,30,20,37102
our ,131,NoCore,6,30,20,33535
other ,151,NoCore ,5,30,20,40437
other ,131,NoCore ,6,30,20,37164
our ,152,NoCore,5,30,20,37102
